"","Year","quarter","mkt_fare","citymarketid_1","citymarketid_2","city1","city2","carairlineid","car","carpax","carpaxshare","caravgfare","fareinc_min","fareinc_minpaxsh","fareinc_max","fare_inc_maxpaxsh","fare_inc_x3paxsh","Geocoded_City1","Geocoded_City2","tbl5pk","lat1","lon1","lat2","lon2","distance"
"16",2014,"4",270.07,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",19805,"AA",6000,0.19,240.56,125,0.13,525,0.05,0.19,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)","20144317033366719805AA",40.71278,-74.00597,36.85077,-76.28587,472.359635513571
"17",2014,"3",260.83,31057,30693,"Charlotte, NC","Nashville, TN",20355,"US",12200,0.42,273.6,150,0.08,350,0.23,0.05,"Charlotte, NC
(35.222936, -80.840161)","Nashville, TN
(36.166687, -86.779932)","20143310573069320355US",35.22709,-80.84313,36.16266,-86.7816,545.80965011735
"18",2015,"3",320.36,30977,33105,"Chicago, IL","Cincinnati, OH",19977,"UA",6270,0.18,304,200,0.06,400,0.06,0.01,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)","20153309773310519977UA",41.87811,-87.6298,39.10312,-84.51202,405.529313491306
"19",2013,"4",272.68,30977,32070,"Chicago, IL","Harrisburg, PA",19977,"UA",8770,0.5,268.05,225,0.28,375,0.09,0,"Chicago, IL
(41.775002, -87.696388)","Harrisburg, PA
(40.259572, -76.881821)","20134309773207019977UA",41.87811,-87.6298,40.27319,-76.8867,916.76402529532
"20",2018,"3",289.74,30397,33244,"Atlanta, GA (Metropolitan Area)","Memphis, TN",19790,"DL",15930,0.4695,299.76,125,0.0665,500,0.1387,0.3296,"","","20183303973324419790DL",33.84982,-84.43827,35.14953,-90.04898,533.636014968517
"21",2015,"4",272.86,35412,31703,"Knoxville, TN","New York City, NY (Metropolitan Area)",19790,"DL",5210,0.22,285.77,100,0.06,375,0.05,0.34,"Knoxville, TN
(35.962631, -83.916677)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20154354123170319790DL",35.96064,-83.92074,40.71278,-74.00597,1011.77601635749
"22",2015,"2",264.8,31995,31703,"Greensboro/High Point, NC","New York City, NY (Metropolitan Area)",19977,"UA",5870,0.13,258.84,100,0.06,375,0.06,0.31,"Greensboro/High Point, NC
(36.072701, -79.793899)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20152319953170319977UA",35.98646,-79.96987,40.71278,-74.00597,738.511551195177
"23",2015,"3",320.87,30977,34524,"Chicago, IL","Richmond, VA",19977,"UA",6600,0.21,339.44,150,0.09,550,0.1,0.31,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)","20153309773452419977UA",41.87811,-87.6298,37.54072,-77.43605,994.839788887037
"24",2014,"1",333.1,30372,32575,"Aspen, CO","Los Angeles, CA (Metropolitan Area)",19977,"UA",15900,0.83,331.04,225,0.26,325,0.05,0.04,"Aspen, CO
(39.190665, -106.819201)","Los Angeles, CA (Metropolitan Area)
(34.052238, -118.243344)","20141303723257519977UA",39.1911,-106.81754,34.05223,-118.24368,1166.7984210984
"25",2014,"1",316.35,31295,33198,"Detroit, MI","Kansas City, MO",19790,"DL",13690,0.56,376.22,200,0.07,575,0.09,0.03,"Detroit, MI
(42.332916, -83.047853)","Kansas City, MO
(39.099792, -94.578559)","20141312953319819790DL",42.33143,-83.04575,39.09973,-94.57857,1034.55276208901
"26",2015,"1",302.91,30255,30852,"Huntsville, AL","Washington, DC (Metropolitan Area)",19790,"DL",4390,0.16,261.48,175,0.13,375,0.05,0.02,"Huntsville, AL
(34.729538, -86.585283)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20151302553085219790DL",34.73037,-86.5861,39.12897,-77.37838,952.06826653703
"27",2014,"1",280.78,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",20355,"US",9470,0.3,212.16,125,0.11,300,0.06,0.06,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20141330443170320355US",38.25266,-85.75846,40.71278,-74.00597,1043.43815246109
"28",2012,"2",276.86,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",20355,"US",4190,0.13,320.76,225,0.07,350,0.06,0.04,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20122330443170320355US",38.25266,-85.75846,40.71278,-74.00597,1043.43815246109
"29",2012,"2",401.92,30194,33244,"Dallas/Fort Worth, TX","Memphis, TN",19790,"DL",5380,0.32,405.77,275,0.09,650,0.07,0.0037,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Memphis, TN
(35.143378, -90.052136)","20122301943324419790DL",32.70788,-96.92091,35.14953,-90.04898,689.026161153083
"30",2015,"3",337.54,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",19977,"UA",8440,0.11,356.77,175,0.12,500,0.05,0.16,"Cincinnati, OH
(39.104427, -84.513808)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20153331053170319977UA",39.10312,-84.51202,40.71278,-74.00597,912.600854313309
"31",2012,"4",263.03,31066,31650,"Columbus, OH","Minneapolis/St. Paul, MN",19790,"DL",18560,0.7,275.68,200,0.19,300,0.05,0.01,"Columbus, OH
(39.962649, -82.996216)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20124310663165019790DL",39.96118,-82.99879,44.93748,-93.201,1001.56185708247
"32",2014,"2",375.2,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",19790,"DL",39200,0.56,410.8,200,0.07,650,0.07,0.21,"Cincinnati, OH
(39.104427, -84.513808)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20142331053170319790DL",39.10312,-84.51202,40.71278,-74.00597,912.600854313309
"33",2014,"1",346.27,35412,30852,"Knoxville, TN","Washington, DC (Metropolitan Area)",19790,"DL",3670,0.23,314.88,200,0.11,425,0.05,0.04,"Knoxville, TN
(35.962631, -83.916677)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20141354123085219790DL",35.96064,-83.92074,39.12897,-77.37838,675.152409324652
"34",2015,"1",309.37,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",20355,"US",2320,0.11,307.11,150,0.08,250,0.08,0.17,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Norfolk, VA (Metropolitan Area)
(36.846164, -76.285913)","20151317033366720355US",40.71278,-74.00597,36.85077,-76.28587,472.359635513571
"35",2013,"3",269.98,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19790,"DL",6670,0.15,294.88,150,0.08,600,0.05,0.23,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20133330443170319790DL",38.25266,-85.75846,40.71278,-74.00597,1043.43815246109
"36",2013,"2",281.94,32337,31703,"Indianapolis, IN","New York City, NY (Metropolitan Area)",19790,"DL",33680,0.36,297.38,150,0.06,300,0.05,0.24,"Indianapolis, IN
(39.76845, -86.156212)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20132323373170319790DL",39.7684,-86.15807,40.71278,-74.00597,1035.25507065128
"37",2012,"3",286.31,30977,33244,"Chicago, IL","Memphis, TN",19790,"DL",10160,0.37,300.19,100,0.08,575,0.05,0.38,"Chicago, IL
(41.775002, -87.696388)","Memphis, TN
(35.143378, -90.052136)","20123309773324419790DL",41.87811,-87.6298,35.14953,-90.04898,776.606589944762
"38",2018,"3",122.59,30647,33342,"Cleveland, OH (Metropolitan Area)","Milwaukee, WI",19393,"WN",10700,0.4167,105.92,75,0.3645,225,0.0589,0,"","","20183306473334219393WN",41.49932,-81.69436,43.0389,-87.90647,538.539107526754
"39",2018,"3",320.06,30647,34100,"Cleveland, OH (Metropolitan Area)","Philadelphia, PA",19805,"AA",12560,0.4486,323.36,175,0.0589,450,0.0518,0.0334,"","","20183306473410019805AA",41.49932,-81.69436,39.95258,-75.16522,575.89102774895
"40",2013,"3",329.19,31295,34100,"Detroit, MI","Philadelphia, PA",19790,"DL",9640,0.22,317.12,75,0.06,650,0.05,0.59,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)","20133312953410019790DL",42.33143,-83.04575,39.95258,-75.16522,710.113722507413
"41",2014,"2",323.75,30977,34524,"Chicago, IL","Richmond, VA",19977,"UA",14520,0.44,341.37,200,0.11,625,0.05,0.09,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)","20142309773452419977UA",41.87811,-87.6298,37.54072,-77.43605,994.839788887037
"42",2012,"3",288.64,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",20355,"US",4890,0.14,243.67,150,0.06,275,0.06,0.03,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)","20123317033452420355US",40.71278,-74.00597,37.54072,-77.43605,459.989339956391
"43",2018,"3",260.62,30977,35096,"Chicago, IL","Syracuse, NY",19977,"UA",6530,0.2613,245.55,175,0.1807,375,0.1011,0.0123,"","","20183309773509619977UA",41.87811,-87.6298,43.04812,-76.14742,949.430122351463
"44",2012,"1",395.86,35412,30852,"Knoxville, TN","Washington, DC (Metropolitan Area)",19790,"DL",3470,0.22,319.43,150,0.15,425,0.05,0.19,"Knoxville, TN
(35.962631, -83.916677)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20121354123085219790DL",35.96064,-83.92074,39.12897,-77.37838,675.152409324652
"45",2013,"3",265.25,35412,31703,"Knoxville, TN","New York City, NY (Metropolitan Area)",19790,"DL",3610,0.18,265.18,150,0.09,375,0.05,0.11,"Knoxville, TN
(35.962631, -83.916677)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20133354123170319790DL",35.96064,-83.92074,40.71278,-74.00597,1011.77601635749
"46",2014,"3",359.04,31295,34100,"Detroit, MI","Philadelphia, PA",20355,"US",8670,0.21,363.71,75,0.05,525,0.09,0.68,"Detroit, MI
(42.332916, -83.047853)","Philadelphia, PA
(39.951061, -75.16562)","20143312953410020355US",42.33143,-83.04575,39.95258,-75.16522,710.113722507413
"47",2014,"3",274.96,30257,30977,"Albany, NY","Chicago, IL",19977,"UA",9650,0.29,286.05,200,0.16,375,0.07,0.01,"Albany, NY
(42.651242, -73.755418)","Chicago, IL
(41.775002, -87.696388)","20143302573097719977UA",42.65258,-73.75623,41.87811,-87.6298,1142.81595425702
"48",2013,"2",287.46,31295,30529,"Detroit, MI","Hartford, CT",20355,"US",3720,0.19,231.07,125,0.05,300,0.08,0.06,"Detroit, MI
(42.332916, -83.047853)","Hartford, CT
(41.765775, -72.673356)","20132312953052920355US",42.33143,-83.04575,41.7658,-72.67337,857.647439195629
"49",2012,"1",290.5,30977,34524,"Chicago, IL","Richmond, VA",19805,"AA",5810,0.24,270.27,150,0.07,475,0.13,0.19,"Chicago, IL
(41.775002, -87.696388)","Richmond, VA
(37.540759, -77.433932)","20121309773452419805AA",41.87811,-87.6298,37.54072,-77.43605,994.839788887037
"50",2018,"3",131.35,30713,30559,"Boise, ID","Seattle, WA",19790,"DL",11430,0.1379,114.2,75,0.4147,225,0.0612,0.1076,"","","20183307133055919790DL",43.61502,-116.20231,47.60621,-122.33207,650.564614682019
"51",2014,"2",321.31,31295,33198,"Detroit, MI","Kansas City, MO",19790,"DL",18460,0.56,375.66,200,0.08,575,0.05,0.07,"Detroit, MI
(42.332916, -83.047853)","Kansas City, MO
(39.099792, -94.578559)","20142312953319819790DL",42.33143,-83.04575,39.09973,-94.57857,1034.55276208901
"52",2013,"4",291.24,31295,30529,"Detroit, MI","Hartford, CT",19790,"DL",14340,0.68,320.57,225,0.26,625,0.06,0.0098,"Detroit, MI
(42.332916, -83.047853)","Hartford, CT
(41.765775, -72.673356)","20134312953052919790DL",42.33143,-83.04575,41.7658,-72.67337,857.647439195629
"53",2018,"3",110.87,30713,31884,"Boise, ID","Spokane, WA",19393,"WN",8160,0.2215,102.36,75,0.4657,225,0.0576,0.0429,"","","20183307133188419393WN",43.61502,-116.20231,47.65878,-117.42605,459.274536934113
"54",2015,"4",280.44,31650,30693,"Minneapolis/St. Paul, MN","Nashville, TN",19393,"WN",4440,0.13,217.67,100,0.06,275,0.09,0.13,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Nashville, TN
(36.166687, -86.779932)","20154316503069319393WN",44.93748,-93.201,36.16266,-86.7816,1114.69532630839
"55",2012,"1",395.86,35412,30852,"Knoxville, TN","Washington, DC (Metropolitan Area)",19977,"UA",2950,0.19,397.57,100,0.14,800,0.08,0.47,"Knoxville, TN
(35.962631, -83.916677)","Washington, DC (Metropolitan Area)
(38.892062, -77.019912)","20121354123085219977UA",35.96064,-83.92074,39.12897,-77.37838,675.152409324652
"56",2015,"3",292.94,31066,31703,"Columbus, OH","New York City, NY (Metropolitan Area)",19977,"UA",12520,0.13,316.66,100,0.06,400,0.06,0.54,"Columbus, OH
(39.962649, -82.996216)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20153310663170319977UA",39.96118,-82.99879,40.71278,-74.00597,765.925335364936
"57",2013,"4",281.04,33105,34100,"Cincinnati, OH","Philadelphia, PA",19790,"DL",8040,0.32,281.04,150,0.09,475,0.05,0.07,"Cincinnati, OH
(39.104427, -84.513808)","Philadelphia, PA
(39.951061, -75.16562)","20134331053410019790DL",39.10312,-84.51202,39.95258,-75.16522,806.262528481617
"58",2012,"1",111.14,34057,31884,"Portland, OR","Spokane, WA",19393,"WN",13140,0.33,102.24,75,0.46,175,0.18,0,"Portland, OR
(45.516018, -122.681425)","Spokane, WA
(47.658999, -117.425022)","20121340573188419393WN",45.51523,-122.67839,47.65878,-117.42605,466.349152113903
"59",2012,"3",109.13,32211,30466,"Las Vegas, NV","Phoenix, AZ",20355,"US",39410,0.26,104.24,75,0.42,150,0.14,0.03,"Las Vegas, NV
(36.169202, -115.140597)","Phoenix, AZ
(30.406931, -87.217578)","20123322113046620355US",36.17156,-115.1391,33.44838,-112.07404,411.975145099863
"60",2013,"3",308.99,31295,30529,"Detroit, MI","Hartford, CT",20355,"US",2230,0.11,231.13,150,0.11,300,0.09,0.04,"Detroit, MI
(42.332916, -83.047853)","Hartford, CT
(41.765775, -72.673356)","20133312953052920355US",42.33143,-83.04575,41.7658,-72.67337,857.647439195629
"61",2014,"2",329.12,30194,33244,"Dallas/Fort Worth, TX","Memphis, TN",19805,"AA",14740,0.67,334.79,75,0.05,500,0.08,0.69,"Dallas/Fort Worth, TX
(40.11086, -77.035636)","Memphis, TN
(35.143378, -90.052136)","20142301943324419805AA",32.70788,-96.92091,35.14953,-90.04898,689.026161153083
"62",2015,"2",262.29,31295,33198,"Detroit, MI","Kansas City, MO",19790,"DL",8820,0.23,364.18,150,0.05,625,0.09,0.3,"Detroit, MI
(42.332916, -83.047853)","Kansas City, MO
(39.099792, -94.578559)","20152312953319819790DL",42.33143,-83.04575,39.09973,-94.57857,1034.55276208901
"63",2012,"1",275.7,31057,30977,"Charlotte, NC","Chicago, IL",19805,"AA",10640,0.16,272.5,150,0.09,500,0.09,0.18,"Charlotte, NC
(35.222936, -80.840161)","Chicago, IL
(41.775002, -87.696388)","20121310573097719805AA",35.22709,-80.84313,41.87811,-87.6298,944.846896844311
"64",2015,"2",264.42,33342,34100,"Milwaukee, WI","Philadelphia, PA",20355,"US",7860,0.3,287.92,175,0.06,375,0.11,0.03,"Milwaukee, WI
(43.041072, -87.909421)","Philadelphia, PA
(39.951061, -75.16562)","20152333423410020355US",43.0389,-87.90647,39.95258,-75.16522,1113.20033045652
"65",2012,"4",330.42,30977,33105,"Chicago, IL","Cincinnati, OH",19790,"DL",8490,0.29,352.82,175,0.08,475,0.2,0.04,"Chicago, IL
(41.775002, -87.696388)","Cincinnati, OH
(39.104427, -84.513808)","20124309773310519790DL",41.87811,-87.6298,39.10312,-84.51202,405.529313491306
"66",2013,"3",286.29,30647,31650,"Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN",19790,"DL",8080,0.24,293.43,200,0.11,475,0.07,0.01,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20133306473165019790DL",41.49932,-81.69436,44.93748,-93.201,1005.91973726896
"67",2015,"1",260.57,30397,32070,"Atlanta, GA (Metropolitan Area)","Harrisburg, PA",20355,"US",1650,0.11,198.05,125,0.11,300,0.06,0.03,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Harrisburg, PA
(40.259572, -76.881821)","20151303973207020355US",33.84982,-84.43827,40.27319,-76.8867,977.924735276571
"68",2012,"4",316.88,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",20355,"US",9180,0.12,238.57,175,0.05,300,0.05,0.01,"Cincinnati, OH
(39.104427, -84.513808)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20124331053170320355US",39.10312,-84.51202,40.71278,-74.00597,912.600854313309
"69",2015,"4",295.62,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",19790,"DL",7820,0.29,326.58,200,0.07,500,0.15,0.0051,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Charlotte, NC
(35.222936, -80.840161)","20154303973105719790DL",33.84982,-84.43827,35.22709,-80.84313,362.893125160433
"70",2013,"3",274.02,31066,34100,"Columbus, OH","Philadelphia, PA",20355,"US",11690,0.4,296.45,175,0.1,425,0.07,0.03,"Columbus, OH
(39.962649, -82.996216)","Philadelphia, PA
(39.951061, -75.16562)","20133310663410020355US",39.96118,-82.99879,39.95258,-75.16522,667.022902713275
"71",2018,"3",131.94,30713,33192,"Boise, ID","Sacramento, CA",19393,"WN",7920,0.2813,126.85,75,0.1288,250,0.0518,0.0543,"","","20183307133319219393WN",43.61502,-116.20231,38.58157,-121.4944,713.261532458305
"72",2013,"1",344.41,33105,31703,"Cincinnati, OH","New York City, NY (Metropolitan Area)",19977,"UA",14030,0.22,385.22,200,0.1,625,0.07,0.12,"Cincinnati, OH
(39.104427, -84.513808)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20131331053170319977UA",39.10312,-84.51202,40.71278,-74.00597,912.600854313309
"73",2014,"1",307.15,31066,31650,"Columbus, OH","Minneapolis/St. Paul, MN",19790,"DL",12920,0.63,337.81,200,0.21,575,0.05,0.06,"Columbus, OH
(39.962649, -82.996216)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20141310663165019790DL",39.96118,-82.99879,44.93748,-93.201,1001.56185708247
"74",2018,"3",133.6,30785,31703,"Burlington, VT","New York City, NY (Metropolitan Area)",19790,"DL",7040,0.1747,139.37,75,0.2102,225,0.1122,0.0852,"","","20183307853170319790DL",44.47588,-73.21207,40.71278,-74.00597,423.162347420291
"75",2014,"3",274.6,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",19790,"DL",6670,0.25,317.68,100,0.07,500,0.12,0.58,"Atlanta, GA (Metropolitan Area)
(33.748547, -84.391502)","Charlotte, NC
(35.222936, -80.840161)","20143303973105719790DL",33.84982,-84.43827,35.22709,-80.84313,362.893125160433
"76",2015,"2",288.19,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",20355,"US",15050,0.14,295.77,125,0.05,350,0.09,0.25,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Pittsburgh, PA
(40.442169, -79.994945)","20152317033019820355US",40.71278,-74.00597,40.44062,-79.99589,506.351972108253
"77",2014,"2",280.64,31057,33244,"Charlotte, NC","Memphis, TN",20355,"US",12940,0.74,288.97,150,0.06,350,0.05,0.12,"Charlotte, NC
(35.222936, -80.840161)","Memphis, TN
(35.143378, -90.052136)","20142310573324420355US",35.22709,-80.84313,35.14953,-90.04898,835.767140822544
"78",2018,"3",133.6,30785,31703,"Burlington, VT","New York City, NY (Metropolitan Area)",19977,"UA",5060,0.1256,131.27,75,0.1087,200,0.0771,0.0593,"","","20183307853170319977UA",44.47588,-73.21207,40.71278,-74.00597,423.162347420291
"79",2018,"3",261.36,30977,31423,"Chicago, IL","Des Moines, IA",19805,"AA",6240,0.2861,271.08,175,0.2131,350,0.1522,0.0433,"","","20183309773142319805AA",41.87811,-87.6298,41.58684,-93.62496,498.09609790709
"80",2018,"3",261.36,30977,31423,"Chicago, IL","Des Moines, IA",19977,"UA",4440,0.2036,262.06,175,0.1892,350,0.1419,0.0135,"","","20183309773142319977UA",41.87811,-87.6298,41.58684,-93.62496,498.09609790709
"81",2015,"2",306.86,33044,31703,"Louisville, KY","New York City, NY (Metropolitan Area)",19790,"DL",8300,0.17,325.73,175,0.12,600,0.05,0.17,"Louisville, KY
(38.256078, -85.751569)","New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","20152330443170319790DL",38.25266,-85.75846,40.71278,-74.00597,1043.43815246109
"82",2014,"1",334.61,31703,34524,"New York City, NY (Metropolitan Area)","Richmond, VA",19790,"DL",16600,0.53,344.17,150,0.11,500,0.11,0.31,"New York City, NY (Metropolitan Area)
(40.123164, -75.333718)","Richmond, VA
(37.540759, -77.433932)","20141317033452419790DL",40.71278,-74.00597,37.54072,-77.43605,459.989339956391
"83",2018,"3",288.14,30977,32070,"Chicago, IL","Harrisburg, PA",19805,"AA",5350,0.2319,306.57,175,0.0617,450,0.0523,0.0486,"","","20183309773207019805AA",41.87811,-87.6298,40.27319,-76.8867,916.76402529532
"84",2018,"3",288.14,30977,32070,"Chicago, IL","Harrisburg, PA",19977,"UA",6110,0.2648,277.06,200,0.1473,375,0.0589,0.018,"","","20183309773207019977UA",41.87811,-87.6298,40.27319,-76.8867,916.76402529532
"85",2018,"3",260.62,30977,35096,"Chicago, IL","Syracuse, NY",19805,"AA",5080,0.2033,326.39,175,0.0768,375,0.2854,0.063,"","","20183309773509619805AA",41.87811,-87.6298,43.04812,-76.14742,949.430122351463
"86",2018,"3",273.7,31057,30198,"Charlotte, NC","Pittsburgh, PA",19805,"AA",14230,0.4796,281.91,175,0.0928,425,0.0583,0.0344,"","","20183310573019819805AA",35.22709,-80.84313,40.44062,-79.99589,584.070411565763
"87",2013,"4",287.03,30647,31650,"Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN",19790,"DL",14720,0.54,299.22,200,0.06,475,0.13,0.01,"Cleveland, OH (Metropolitan Area)
(41.505546, -81.6915)","Minneapolis/St. Paul, MN
(44.977479, -93.264346)","20134306473165019790DL",41.49932,-81.69436,44.93748,-93.201,1005.91973726896
"88",2012,"2",287.84,31650,30198,"Minneapolis/St. Paul, MN","Pittsburgh, PA",19393,"WN",2800,0.1,245.79,175,0.07,375,0.11,0.0036,"Minneapolis/St. Paul, MN
(44.977479, -93.264346)","Pittsburgh, PA
(40.442169, -79.994945)","20122316503019819393WN",44.93748,-93.201,40.44062,-79.99589,1186.80540693437
